# converted from stack_master/maps/f/global_waypoints.json (global_traj_wpnts_iqp)
# fields_id_unused
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
7.997995336604935446e+00;-7.540268802203974552e+00;-1.485528339861786051e+01;1.623084985412699854e+00;2.135497185940977115e-03;9.094354708706148926e+00;4.082439493253366969e+00;2.206367402798411259e+00;3.663900946097194966e-01
8.097970278312496717e+00;-7.545504145593456613e+00;-1.475544571137279171e+01;1.623283948466718085e+00;1.844765879712519790e-03;9.139123090783437320e+00;4.056112031080266078e+00;2.199855817595439245e+00;3.611598168033847145e-01
8.197945220020057988e+00;-7.550757910542014173e+00;-1.465560882904422080e+01;1.623453846316911253e+00;1.554039688902240490e-03;9.183386630008788742e+00;4.030066222967153777e+00;2.197431590533430956e+00;3.559113410744297323e-01
8.297920161727619259e+00;-7.556027178015600754e+00;-1.455577292665408073e+01;1.623594678658795365e+00;1.263316793778956849e-03;9.227155643407218832e+00;4.004296511172303674e+00;2.199569006490454282e+00;3.506476019531514776e-01
8.397895103435182307e+00;-7.561309063338245373e+00;-1.445593752783360841e+01;1.623706446542059645e+00;9.725988546850661840e-04;9.270440112973611591e+00;3.978797515660208006e+00;2.204852076540242400e+00;3.453714821355434172e-01
8.497870045142743578e+00;-7.566600647544261982e+00;-1.435610280611749801e+01;1.623789149813640975e+00;6.818838862115451102e-04;9.313249700701620171e+00;3.953564026184007929e+00;2.210144856909676214e+00;3.516465217617582018e-01
8.597844986850304849e+00;-7.571899046271995282e+00;-1.425626828207182051e+01;1.623842789320020241e+00;3.911735203070913877e-04;9.355593762756511111e+00;3.928590994819440407e+00;2.215444459190049731e+00;3.847263975675212500e-01
8.697819928557866120e+00;-7.577201340590817402e+00;-1.415643412896780262e+01;1.623867365017790831e+00;1.004654163128670139e-04;9.397481362850813369e+00;3.903873528916053104e+00;2.220747966072997848e+00;3.794828461594149660e-01
8.797794870265429168e+00;-7.582504646356571065e+00;-1.405659986524067939e+01;1.623862877551778050e+00;-1.902376356923448752e-04;9.438921284876919060e+00;3.879406884438454384e+00;2.226052489261933776e+00;3.741779227939564523e-01
8.897769811972990439e+00;-7.587806044640732495e+00;-1.395676566520766215e+01;1.623829327159322711e+00;-4.809375596931023231e-04;9.479922044846457396e+00;3.855186459671472665e+00;2.231355111441135186e+00;3.688749049944706204e-01
8.997744753680551710e+00;-7.593102651495453159e+00;-1.385693104507574347e+01;1.623766714303205516e+00;-7.716339900722602634e-04;9.520491902182403265e+00;3.831207789266362518e+00;2.236652944405032262e+00;3.635766890093338755e-01
9.097719695388112982e+00;-7.598391547921753642e+00;-1.375709618211216245e+01;1.623675039054401248e+00;-1.062330674021270439e-03;9.560638870406288348e+00;3.807466538602099604e+00;2.241943070776468261e+00;3.582861878619167384e-01
9.197694637095676029e+00;-7.603669849320369600e+00;-1.365726062454730716e+01;1.623554397407892536e+00;-1.347167190674999687e-03;9.600370727259656789e+00;3.783958498447561603e+00;2.247222601906148309e+00;3.530062976193872326e-01
9.297669578803237300e+00;-7.608934704257729109e+00;-1.355742453465963493e+01;1.623406078428553334e+00;-1.619956487274898252e-03;9.639695024295964032e+00;3.760679579898177582e+00;2.238394965602734210e+00;3.477398641826343617e-01
9.397644520510798571e+00;-7.614183403560029539e+00;-1.345758742657323381e+01;1.623230908992971289e+00;-1.867010071017011176e-03;9.678619095976380038e+00;3.737625809575682023e+00;2.227933887392975265e+00;3.424896092725366881e-01
9.497619462218359843e+00;-7.619413495856127483e+00;-1.335774956553119885e+01;1.623034546848545201e+00;-2.061220418741203497e-03;9.717150068300512089e+00;3.714793325071988228e+00;2.221907768892704027e+00;3.544278816215967742e-01
9.597594403925921114e+00;-7.624623031848967614e+00;-1.325791031920364560e+01;1.622818883741203422e+00;-2.248406400115376264e-03;9.755294867000795733e+00;3.692178370621323147e+00;2.220350714529179204e+00;3.830935171133821870e-01
9.697569345633484161e+00;-7.629810119582930206e+00;-1.315807022559665995e+01;1.622585461851627775e+00;-2.421208604845582688e-03;9.793060225327200996e+00;3.669777292988825490e+00;2.223270264247591221e+00;3.779125993006550721e-01
9.797544287341045433e+00;-7.634973059809946783e+00;-1.305822849335521596e+01;1.622334762764852334e+00;-2.594056335979585699e-03;9.830452691447034042e+00;3.647586537561136932e+00;2.228433242855705654e+00;3.727560969433686977e-01
9.897519229048606704e+00;-7.640110086904890352e+00;-1.295838581160934844e+01;1.622066777136184745e+00;-2.767008110536874847e-03;9.867478635482832772e+00;3.625602644627713644e+00;2.233570318372009478e+00;3.676257227269020822e-01
9.997494170756167975e+00;-7.645219514093181346e+00;-1.285854132465681765e+01;1.621781505338244278e+00;-2.939631266732301886e-03;9.904144256209772124e+00;3.603822245840334393e+00;2.238679803401431467e+00;3.625232342084825365e-01
1.009746911246373102e+01;-7.650299578635689990e+00;-1.275869572730197454e+01;1.621479020525141923e+00;-3.111591187158360781e-03;9.940455587432481366e+00;3.582242060842253384e+00;2.243759935115946735e+00;3.574503398287066647e-01
1.019744405417129229e+01;-7.655348583030774812e+00;-1.265884831539436028e+01;1.621158252585286785e+00;-3.350118752964437348e-03;9.976418504059850534e+00;3.560858894055810797e+00;2.248809015344607420e+00;3.524087967701544089e-01
1.029741899587885356e+01;-7.660364021206651053e+00;-1.255899964731706042e+01;1.620804583799824172e+00;-3.725034697831913245e-03;1.001203872789513127e+01;3.539669631620224077e+00;2.253824537946532924e+00;3.474010642286824435e-01
1.039739393758641484e+01;-7.665342247924615826e+00;-1.245914872347345970e+01;1.620409203095497297e+00;-4.358233287514490066e-03;1.004732183315745431e+01;3.518671238470069795e+00;2.258802856709694939e+00;3.424308662315059260e-01
1.049736887929397788e+01;-7.670276538428451474e+00;-1.235929625724856074e+01;1.619915368388369581e+00;-5.520939697905995029e-03;1.008227325174986078e+01;3.497860755547929745e+00;2.263737246928740010e+00;3.601181020166608904e-01
1.059734382100153915e+01;-7.675155753456166963e+00;-1.225944005552982574e+01;1.619304285937700483e+00;-6.745477462438927152e-03;1.011689827828790911e+01;3.477235297143181914e+00;2.268616567259697181e+00;3.804528653103482205e-01
1.069731876270910043e+01;-7.679967479368619898e+00;-1.215958165188118834e+01;1.618562337482185587e+00;-8.097259406515053271e-03;1.015120207490204507e+01;3.456792048348388047e+00;2.273428404666442137e+00;3.798007599055092665e-01
1.079729370441666170e+01;-7.684698430514894874e+00;-1.205971802842469565e+01;1.617685246651966002e+00;-9.448854388548661581e-03;1.018518967582603096e+01;3.436528262631877606e+00;2.278159470323183111e+00;3.750970453711450214e-01
1.089726864612422474e+01;-7.689334980882224890e+00;-1.195985133251993382e+01;1.616673044187572739e+00;-1.080035568596157333e-02;1.021886599178300159e+01;3.416441259511999284e+00;2.265148603328510202e+00;3.704880251905060540e-01
1.099724358783178602e+01;-7.693863757105583900e+00;-1.185997834494662229e+01;1.615525723930599789e+00;-1.215162907822184453e-02;1.025223581417991170e+01;3.396528422337142139e+00;2.254976401503607342e+00;3.659873710745150110e-01
1.109721852953934729e+01;-7.698271139261490426e+00;-1.176010127605083255e+01;1.614243335173650484e+00;-1.350269792860051866e-02;1.028530381912054636e+01;3.376787196158304916e+00;2.249085020751877551e+00;3.616082695401449110e-01
1.119719347124690856e+01;-7.702543751286220264e+00;-1.166021708914899868e+01;1.612826506282414751e+00;-1.481451964759702110e-02;1.031807457124657645e+01;3.357215085693855183e+00;2.247494477375493460e+00;3.573643604756578940e-01
1.129716841295446983e+01;-7.706668426936091443e+00;-1.156032805256189278e+01;1.611283897834200340e+00;-1.604553993959681804e-02;1.035055252741558718e+01;3.337809653378603691e+00;2.250200887594378418e+00;3.532683471198104774e-01
1.139714335466203288e+01;-7.710632927394087233e+00;-1.146043110131476617e+01;1.609619154379533512e+00;-1.721867895360677456e-02;1.038274204022444813e+01;3.318568517496963910e+00;2.254164475948140289e+00;3.493327353978183947e-01
1.149711829636959415e+01;-7.714425490881819947e+00;-1.136052893072172054e+01;1.607845041152364818e+00;-1.827272513232913037e-02;1.041464736138592251e+01;3.299489350391274112e+00;2.257956181452548616e+00;3.455687521617242242e-01
1.159709323807715542e+01;-7.718035595159078888e+00;-1.126061832867866030e+01;1.605964547826660649e+00;-1.938702031645023888e-02;1.044627264496590335e+01;3.280569876744078517e+00;2.261565506317260610e+00;3.697050346153174516e-01
1.169706817978471669e+01;-7.721451895019336042e+00;-1.116070249210223508e+01;1.603964367750889020e+00;-2.062689608546879050e-02;1.047762195048824374e+01;3.261807871931388103e+00;2.264981079199979153e+00;3.863036866663582813e-01
1.179704312149227974e+01;-7.724662193011318401e+00;-1.106077828854050615e+01;1.601840187505952029e+00;-2.186737017355347770e-02;1.050869924591375337e+01;3.243201160441250952e+00;2.268190726376346333e+00;3.831069238925664533e-01
1.189701806319984101e+01;-7.727653984559986533e+00;-1.096084880162896802e+01;1.599591950993505263e+00;-2.310891299597348653e-02;1.053950841049952913e+01;3.224747614355925052e+00;2.271181918523582866e+00;3.801277592301642305e-01
1.199699300490740228e+01;-7.730414937911166184e+00;-1.086091129497466312e+01;1.597219560198554156e+00;-2.435057106308247815e-02;1.057005323754445314e+01;3.206445151893986711e+00;2.273942344471787891e+00;3.773782156594522874e-01
1.209696794661496355e+01;-7.732932556628900223e+00;-1.076096870187721954e+01;1.594723041663897334e+00;-2.559262982443345769e-02;1.060033743702634013e+01;3.188291736009083888e+00;2.276459484640186215e+00;3.748709384330582983e-01
1.219694288832252660e+01;-7.735194481543985923e+00;-1.066101867591977026e+01;1.592102292457107326e+00;-2.683597380896374576e-02;1.063036463813591759e+01;3.170285373045237165e+00;2.278720997466471498e+00;3.726180079538571888e-01
