x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
2.650832,10.513423,0.5253,0.7648,3.093901,0.088450,6.8976
2.551064,10.517743,0.5068,0.7745,3.102765,0.089064,6.8706
2.451171,10.521177,0.4835,0.7959,3.111698,0.089683,6.8435
2.351337,10.523714,0.4811,0.8082,3.120684,0.090272,6.8162
2.251404,10.525352,0.4783,0.8259,3.129736,0.090865,6.7887
2.151534,10.526082,0.4758,0.8350,3.138839,0.091423,6.7610
2.051594,10.525899,0.4802,0.8550,-3.135181,0.091985,6.7331
1.951720,10.524799,0.4774,0.8660,-3.125967,0.092508,6.7050
1.851807,10.522775,0.4961,0.8467,-3.116696,0.093034,6.6766
1.751963,10.519824,0.5048,0.8318,-3.107378,0.093522,6.6480
1.652112,10.515938,0.5220,0.8239,-3.098009,0.094008,6.6190
1.552333,10.511116,0.5345,0.8074,-3.088594,0.094459,6.5897
1.452580,10.505352,0.5257,0.8020,-3.079134,0.094903,6.5600
1.352903,10.498643,0.5220,0.7938,-3.069631,0.095315,6.5300
1.253284,10.490984,0.5186,0.7870,-3.060088,0.095716,6.4995
1.153747,10.482373,0.5147,0.7765,-3.050505,0.096088,6.4686
1.054298,10.472807,0.5309,0.7681,-3.040888,0.096441,6.4373
0.954941,10.462283,0.5337,0.7558,-3.031235,0.096773,6.4054
0.855699,10.450800,0.5491,0.7454,-3.021551,0.097080,6.3729
0.756562,10.438353,0.5572,0.7345,-3.011836,0.097368,6.3399
0.657563,10.424945,0.5718,0.7220,-3.002097,0.097613,6.3063
0.558686,10.410569,0.5847,0.7222,-2.992330,0.097858,6.2721
0.459968,10.395229,0.5986,0.7113,-2.982542,0.098095,6.2371
0.361396,10.378921,0.6166,0.7096,-2.972721,0.098801,6.2015
0.263003,10.361643,0.6299,0.7039,-2.962772,0.100364,6.1656
0.164775,10.343377,0.6525,0.6996,-2.952669,0.101863,6.1298
0.066754,10.324115,0.6654,0.6803,-2.942421,0.103313,6.0940
-0.031090,10.303836,0.6926,0.6745,-2.932021,0.105084,6.0583
-0.128700,10.282534,0.7052,0.6823,-2.921374,0.108071,6.0235
-0.226079,10.260178,0.7324,0.6752,-2.910422,0.111121,5.9896
-0.323219,10.236739,0.7494,0.6705,-2.899182,0.113849,5.9564
-0.420045,10.212206,0.7757,0.6577,-2.887669,0.116660,5.9240
-0.516643,10.186530,0.7968,0.6318,-2.875885,0.119155,5.8921
-0.612836,10.159732,0.8222,0.6198,-2.863856,0.121782,5.8609
-0.708818,10.131730,0.8364,0.6047,-2.851570,0.124007,5.8301
-0.804296,10.102587,0.8490,0.5908,-2.839073,0.126394,5.7998
-0.899574,10.072185,0.8613,0.5810,-2.826335,0.128356,5.7697
-0.994264,10.040627,0.8859,0.5652,-2.813419,0.130478,5.7399
-1.088739,10.007767,0.9044,0.5624,-2.800282,0.132190,5.7102
-1.182555,9.973741,0.9285,0.5452,-2.786999,0.134038,5.6807
-1.276135,9.938376,0.9442,0.5307,-2.773515,0.135502,5.6510
-1.368988,9.901841,0.9680,0.5121,-2.759917,0.137079,5.6213
-1.461580,9.863937,1.0026,0.4968,-2.746139,0.138304,5.5914
-1.553381,9.824867,1.0382,0.4769,-2.732276,0.139620,5.5613
-1.644894,9.784403,1.0715,0.4488,-2.718254,0.140626,5.5309
-1.735550,9.742786,1.1002,0.4276,-2.704173,0.141704,5.5000
-1.825898,9.699751,1.1303,0.3911,-2.689950,0.142530,5.4688
-1.915317,9.655586,1.1524,0.3686,-2.675692,0.143408,5.4369
-2.004411,9.609982,1.1841,0.3585,-2.661302,0.144119,5.4045
-2.092504,9.563279,1.2149,0.3362,-2.646896,0.144860,5.3713
-2.180258,9.515115,1.2457,0.3200,-2.632359,0.145569,5.3374
-2.266947,9.465882,1.2732,0.2981,-2.617812,0.146273,5.3027
-2.353261,9.415180,1.3032,0.2864,-2.603125,0.147155,5.2672
-2.438504,9.363406,1.3277,0.2662,-2.588407,0.148014,5.2308
-2.523239,9.310209,1.3569,0.2788,-2.573533,0.149292,5.1936
-2.606945,9.255901,1.3940,0.2626,-2.558578,0.150602,5.1557
-2.689996,9.200224,1.4385,0.2764,-2.543419,0.152564,5.1171
-2.772055,9.143381,1.4801,0.2651,-2.528095,0.154735,5.0780
-2.853312,9.085214,1.5133,0.2710,-2.512479,0.157744,5.0390
-2.933579,9.025820,1.5316,0.2652,-2.496578,0.161142,5.0001
-3.012917,8.965114,1.5426,0.2826,-2.480272,0.165210,4.9617
-3.091208,8.903135,1.5327,0.2826,-2.463607,0.168248,4.9232
-3.168485,8.839818,1.5076,0.3007,-2.446694,0.170227,4.8845
-3.244611,8.775256,1.4891,0.3059,-2.429773,0.167081,4.8452
-3.319756,8.709340,1.4622,0.3122,-2.413384,0.160743,4.8028
-3.393672,8.642372,1.4365,0.3225,-2.397643,0.155108,4.7556
-3.466776,8.574047,1.4074,0.3278,-2.382408,0.149307,4.7036
-3.538523,8.504956,1.3865,0.3426,-2.367767,0.144813,4.6467
-3.609699,8.434403,1.3739,0.3701,-2.353500,0.139776,4.5853
-3.679338,8.363395,1.3668,0.3879,-2.339267,0.147307,4.5205
-3.748555,8.290707,1.3520,0.4088,-2.324088,0.154963,4.4562
-3.815987,8.217652,1.3436,0.4285,-2.308099,0.166840,4.3944
-3.882835,8.142763,1.3270,0.4421,-2.290754,0.178660,4.3349
-3.947757,8.067373,1.3197,0.4623,-2.272546,0.187223,4.2761
-4.011764,7.990169,1.3141,0.4707,-2.253342,0.195775,4.2179
-4.073829,7.912258,1.3059,0.4894,-2.233476,0.203005,4.1597
-4.134637,7.832664,1.3072,0.4888,-2.212769,0.210512,4.1014
-4.193512,7.752146,1.3182,0.5061,-2.191458,0.216515,4.0423
-4.250805,7.670125,1.3327,0.5229,-2.169490,0.222725,3.9823
-4.306156,7.587004,1.3279,0.5373,-2.146971,0.227876,3.9212
-4.359653,7.502561,1.3093,0.5598,-2.123938,0.233083,3.8586
-4.411156,7.416913,1.2978,0.5705,-2.100393,0.237596,3.7941
-4.460600,7.330088,1.2795,0.5870,-2.076447,0.241855,3.7271
-4.507952,7.242050,1.2625,0.5936,-2.052047,0.245766,3.6574
-4.553106,7.152921,1.2448,0.6143,-2.027336,0.249006,3.5844
-4.596037,7.062678,1.2214,0.6178,-2.002263,0.252399,3.5075
-4.636685,6.971364,1.2045,0.6336,-1.976919,0.254854,3.4261
-4.674960,6.879130,1.1983,0.6432,-1.951298,0.259842,3.3394
-4.710875,6.785771,1.1843,0.6513,-1.924540,0.275348,3.2478
-4.744114,6.691727,1.1678,0.6443,-1.896253,0.293151,3.1539
-4.774613,6.596362,1.1544,0.6497,-1.863124,0.369059,3.0759
-4.801461,6.500336,1.1533,0.6366,-1.822443,0.447253,3.0150
-4.824058,6.402990,1.1596,0.6346,-1.774153,0.517985,2.9699
-4.841574,6.304714,1.1629,0.6301,-1.719095,0.584054,2.9405
-4.853441,6.205325,1.1604,0.6179,-1.660506,0.573816,2.9117
