x_m,y_m,w_tr_right_m,w_tr_left_m
-1.523243,6.743262,0.6394,0.7101
-1.549935,6.789752,0.6528,0.7081
-1.579987,6.834540,0.6739,0.7003
-1.613747,6.879374,0.7021,0.6909
-1.649501,6.923959,0.7356,0.6843
-1.687129,6.966406,0.7446,0.6796
-1.726490,7.008507,0.7257,0.6781
-1.767419,7.048393,0.7072,0.6777
-1.809731,7.086261,0.6933,0.6748
-1.853219,7.123924,0.6781,0.6759
-1.899717,7.159536,0.6681,0.6784
-1.947381,7.194933,0.6566,0.6853
-1.995958,7.229906,0.6487,0.6964
-2.045177,7.262654,0.6397,0.7020
-2.094743,7.293438,0.6365,0.6903
-2.146403,7.324138,0.6399,0.6751
-2.198225,7.352972,0.6497,0.6625
-2.251934,7.381841,0.6501,0.6540
-2.305575,7.408987,0.6440,0.6497
-2.358788,7.436331,0.6317,0.6512
-2.411192,7.462137,0.6259,0.6562
-2.462383,7.488349,0.6247,0.6422
-2.514000,7.513252,0.6301,0.6318
-2.564000,7.537195,0.6325,0.6265
-2.614000,7.562143,0.6271,0.6269
-2.664000,7.586405,0.6272,0.6258
-2.714000,7.611967,0.6272,0.6268
-2.764000,7.637158,0.6265,0.6324
-2.814000,7.663987,0.6254,0.6445
-2.864000,7.690805,0.6233,0.6431
-2.914000,7.717580,0.6221,0.6354
-2.964000,7.744278,0.6203,0.6327
-3.014000,7.770868,0.6238,0.6349
-3.064000,7.797315,0.6325,0.6354
-3.114000,7.823588,0.6217,0.6374
-3.164000,7.849654,0.6064,0.6443
-3.214000,7.877543,0.5943,0.6438
-3.264000,7.903565,0.5893,0.6409
-3.314000,7.927687,0.5913,0.6412
-3.364000,7.953535,0.5970,0.6409
-3.414000,7.981075,0.6067,0.6443
-3.464000,8.008681,0.6214,0.6454
-3.514000,8.034725,0.6287,0.6477
-3.564000,8.062855,0.6304,0.6491
-3.614000,8.089379,0.6386,0.6420
-3.664000,8.114264,0.6309,0.6327
-3.714000,8.141137,0.6147,0.6299
-3.764000,8.167901,0.6034,0.6322
-3.814000,8.196139,0.5960,0.6344
-3.864000,8.224225,0.5943,0.6380
-3.914000,8.252147,0.5982,0.6397
-3.964000,8.281512,0.6064,0.6447
-4.014000,8.308649,0.6214,0.6454
-4.064000,8.335164,0.6378,0.6387
-4.114000,8.362663,0.6540,0.6313
-4.164000,8.391157,0.6464,0.6300
-4.214000,8.416998,0.6443,0.6314
-4.264000,8.443877,0.6463,0.6388
-4.314000,8.469764,0.6540,0.6501
-4.364000,8.496307,0.6627,0.6584
-4.414000,8.519882,0.6666,0.6554
-4.464000,8.544200,0.6744,0.6565
-4.514000,8.567253,0.6876,0.6530
-4.564000,8.590711,0.6916,0.6431
-4.614000,8.614652,0.6984,0.6330
-4.664000,8.635493,0.7120,0.6250
-4.714000,8.656991,0.7288,0.6222
-4.764000,8.677179,0.7377,0.6229
-4.814000,8.697773,0.7334,0.6287
-4.864000,8.716830,0.7344,0.6312
-4.914000,8.734468,0.7407,0.6299
-4.964000,8.750808,0.7517,0.6317
-5.014000,8.767587,0.7658,0.6383
-5.064000,8.782882,0.7844,0.6476
-5.114000,8.798452,0.7965,0.6612
