x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
11.232755,6.131071,0.6139,1.0032,1.993729,0.206165,6.5475
11.190817,6.221754,0.6318,0.9908,2.014160,0.202823,6.5931
11.147049,6.311569,0.6473,0.9864,2.034261,0.199564,6.6386
11.101500,6.400493,0.6706,0.9901,2.054040,0.196384,6.6841
11.054215,6.488506,0.6889,0.9988,2.073506,0.193280,6.7296
11.005239,6.575590,0.7099,1.0091,2.092665,0.190248,6.7751
10.954616,6.661728,0.7201,1.0135,2.111525,0.187285,6.8205
10.902391,6.746903,0.7357,1.0211,2.130091,0.184387,6.8659
10.848605,6.831101,0.7314,1.0209,2.148372,0.181552,6.9112
10.793301,6.914310,0.7116,1.0259,2.166372,0.178777,6.9565
10.736519,6.996519,0.6936,1.0211,2.184098,0.176058,7.0018
10.678300,7.077715,0.6844,1.0237,2.201555,0.173394,7.0470
10.618683,7.157891,0.6913,1.0342,2.218748,0.170782,7.0922
10.557707,7.237038,0.6854,1.0525,2.235683,0.168220,7.1373
10.495409,7.315149,0.6743,1.0602,2.252365,0.165705,7.1825
10.431827,7.392218,0.6735,1.0683,2.268797,0.163236,7.2275
10.366996,7.468240,0.6890,1.0762,2.284985,0.160810,7.2726
10.300952,7.543210,0.6967,1.0662,2.300933,0.158426,7.3177
10.233729,7.617126,0.6827,1.0584,2.316644,0.156081,7.3627
10.165362,7.689984,0.6796,1.0548,2.332123,0.153775,7.4078
10.095884,7.761783,0.6779,1.0564,2.347373,0.151504,7.4528
10.025327,7.832523,0.6770,1.0592,2.362399,0.149269,7.4979
9.953722,7.902202,0.6558,1.0699,2.377202,0.147066,7.5429
9.881102,7.970822,0.6458,1.0882,2.391787,0.144895,7.5880
9.807495,8.038383,0.6501,1.1001,2.406157,0.142755,7.6331
9.732933,8.104888,0.6309,1.1164,2.420314,0.140644,7.6782
9.657443,8.170338,0.6270,1.1235,2.434262,0.138560,7.7234
9.581055,8.234737,0.6339,1.1090,2.448003,0.136503,7.7686
9.503795,8.298088,0.6179,1.0916,2.461540,0.134472,7.8138
9.425691,8.360396,0.6050,1.0818,2.474875,0.132465,7.8591
9.346770,8.421664,0.6050,1.0799,2.488010,0.130480,7.9045
9.267056,8.481898,0.6117,1.0859,2.500949,0.128519,7.9499
9.186575,8.541104,0.6182,1.0998,2.513692,0.126578,7.9955
9.105353,8.599287,0.6131,1.1211,2.526243,0.124657,8.0411
9.023411,8.656455,0.6070,1.1253,2.538603,0.122756,8.0868
8.940775,8.712612,0.5761,1.1289,2.550774,0.120874,8.1326
8.857467,8.767768,0.5627,1.1241,2.562757,0.119009,8.1786
8.773508,8.821929,0.5589,1.1262,2.574555,0.117161,8.2246
8.688921,8.875104,0.5353,1.1360,2.586169,0.115329,8.2708
8.603728,8.927301,0.5197,1.1323,2.597601,0.113512,8.3172
8.517947,8.978528,0.5162,1.1283,2.608852,0.111710,8.3636
8.431601,9.028795,0.5163,1.1198,2.619924,0.109921,8.4103
8.344707,9.078110,0.5184,1.1127,2.630818,0.108147,8.4571
8.257286,9.126483,0.5076,1.1030,2.641535,0.106384,8.5041
8.169355,9.173925,0.4979,1.0930,2.652077,0.104634,8.5513
8.080933,9.220445,0.4894,1.0820,2.662444,0.102895,8.5986
7.992038,9.266053,0.4803,1.0713,2.672638,0.101167,8.6462
7.902686,9.310760,0.4653,1.0593,2.682660,0.099450,8.6940
7.812895,9.354578,0.4506,1.0556,2.692511,0.097742,8.7421
7.722679,9.397516,0.4310,1.0604,2.702192,0.096043,8.7903
7.632056,9.439587,0.4296,1.0472,2.711703,0.094354,8.8386
7.541040,9.480801,0.4147,1.0338,2.721046,0.092673,8.8863
7.449647,9.521171,0.4146,1.0121,2.730222,0.090999,8.9335
7.357890,9.560708,0.3981,0.9976,2.739238,0.089487,8.9801
7.265783,9.599424,0.3909,0.9735,2.748104,0.087981,9.0261
7.173340,9.637327,0.4076,0.9568,2.756849,0.087079,9.0716
7.080569,9.674424,0.3890,0.9315,2.765505,0.086186,9.1166
6.987483,9.710721,0.3900,0.9155,2.774079,0.085443,9.1611
6.894090,9.746222,0.4166,0.8894,2.782579,0.084708,9.2051
6.800401,9.780932,0.4301,0.8728,2.791006,0.083978,9.2486
6.706423,9.814854,0.4515,0.8644,2.799360,0.083255,9.2916
6.612166,9.847993,0.4693,0.8582,2.807642,0.082537,9.3342
6.517639,9.880354,0.4754,0.8523,2.815853,0.081825,9.3763
6.422851,9.911941,0.4824,0.8556,2.823993,0.081118,9.4179
